Date,Mkt-RF,SMB,HML,RF
200010,-2.76,-3.87,5.71,0.56
200011,-10.72,-3.5,12.53,0.51
200012,1.19,0.73,7.67,0.5
200101,3.13,6.76,-5.33,0.54
200102,-10.05,-0.82,12.58,0.38
200103,-7.26,0.17,6.52,0.42
200104,7.94,0.61,-4.8,0.39
200105,0.72,2.53,3.34,0.32
200106,-1.94,6.25,-1.16,0.28
200107,-2.13,-4.23,5.35,0.3
200108,-6.46,2.48,2.33,0.31
200109,-9.25,-6.25,1.57,0.28
200110,2.46,7.57,-7.66,0.22
200111,7.54,-0.48,2.16,0.17
200112,1.6,4.79,0.9,0.15
200201,-1.44,1.18,3.38,0.14
200202,-2.29,-1.07,2.21,0.13
200203,4.24,4.14,1.08,0.13
200204,-5.2,5.84,3.96,0.15
200205,-1.38,-3.26,1.57,0.14
200206,-7.21,4.2,0.04,0.13
200207,-8.18,-5.22,-3.71,0.15
200208,0.5,-2.94,3.23,0.14
200209,-10.35,2.39,1.49,0.14
200210,7.84,-3.44,-4.07,0.14
200211,5.96,3.23,-1.51,0.12
200212,-5.76,-0.01,2.28,0.11
200301,-2.57,1.28,-0.86,0.1
200302,-1.88,-0.46,-1.33,0.09
200303,1.09,0.93,-2.15,0.1
200304,8.22,0.64,0.89,0.1
200305,6.05,4.49,0.11,0.09
200306,1.42,1.75,0.39,0.1
200307,2.35,5.23,-1.08,0.07
200308,2.34,2.7,1.61,0.07
200309,-1.24,0.71,0.05,0.08
200310,6.08,2.64,1.92,0.07
200311,1.35,1.99,1.8,0.07
200312,4.29,-2.76,1.58,0.08
200401,2.15,2.53,2.45,0.07
200402,1.4,-1.56,0.86,0.06
200403,-1.32,1.75,0.24,0.09
200404,-1.83,-1.73,-3.07,0.08
200405,1.17,-0.24,-0.29,0.06
200406,1.86,2.28,1.23,0.08
200407,-4.06,-3.85,3.28,0.1
200408,0.08,-1.56,0.96,0.11
200409,1.6,3.01,-0.07,0.11
200410,1.43,0.13,-0.29,0.11
200411,4.54,3.72,1.43,0.15
200412,3.43,-0.07,-0.18,0.16
200501,-2.76,-1.72,2.01,0.16
200502,1.89,-0.55,1.63,0.16
200503,-1.97,-1.35,2.14,0.21
200504,-2.61,-3.97,0.05,0.21
200505,3.65,2.8,-0.66,0.24
200506,0.57,2.55,2.82,0.23
200507,3.92,2.87,-0.83,0.24
200508,-1.22,-0.98,1.38,0.3
200509,0.49,-0.66,0.74,0.29
200510,-2.02,-1.19,0.45,0.27
200511,3.61,0.97,-1.16,0.31
200512,-0.25,-0.46,0.24,0.32
200601,3.04,5.4,0.99,0.35
200602,-0.3,-0.37,-0.26,0.34
200603,1.46,3.49,0.68,0.37
200604,0.73,-1.41,2.37,0.36
200605,-3.57,-3.09,2.45,0.43
200606,-0.35,-0.36,0.92,0.4
200607,-0.78,-3.99,2.67,0.4
200608,2.03,1.02,-1.98,0.42
200609,1.84,-1.29,-0.04,0.41
200610,3.23,1.72,-0.3,0.41
200611,1.71,0.78,0.07,0.42
200612,0.87,-1.14,2.72,0.4
200701,1.4,0.16,-0.69,0.44
200702,-1.96,1.29,-0.17,0.38
200703,0.68,0.08,-0.83,0.43
200704,3.49,-2.18,-1.38,0.44
200705,3.24,0.27,-0.63,0.41
200706,-1.96,0.78,-1.1,0.4
200707,-3.73,-2.45,-3.55,0.4
200708,0.92,-0.17,-1.91,0.42
200709,3.22,-2.22,-2.21,0.32
200710,1.8,0.25,-2.91,0.32
200711,-4.83,-2.8,-1,0.34
200712,-0.87,0.14,-0.59,0.27
200801,-6.36,-0.89,3.67,0.21
200802,-3.09,-0.27,-0.88,0.13
200803,-0.93,0.79,0.14,0.17
200804,4.6,-1.59,-0.96,0.18
200805,1.86,3.05,-1.45,0.18
200806,-8.44,1.22,-2.77,0.17
200807,-0.77,2.47,5.27,0.15
200808,1.53,3.54,1.45,0.13
200809,-9.24,-1.18,6.07,0.15
200810,-17.23,-2.52,-2.37,0.08
200811,-7.86,-2.82,-6.31,0.03
200812,1.74,3.51,0.14,0
200901,-8.12,0.33,-11.12,0
200902,-10.1,0.23,-7.03,0.01
200903,8.95,0,3.4,0.02
200904,10.18,5.14,5.21,0.01
200905,5.21,-2.63,0.49,0
